Epoch,TrainLoss,TrainAcc,ValLoss,ValAcc
1,2.1255,0.2560,1.4584,0.5664
2,1.7943,0.4384,1.1581,0.7106
3,1.6758,0.5006,1.0416,0.7722
4,1.5747,0.5433,0.9908,0.7971
5,1.5282,0.5608,0.9628,0.8080
6,1.4847,0.5790,0.8944,0.8345
7,1.4137,0.6089,0.8769,0.8488
8,1.3791,0.6261,0.8459,0.8606
9,1.3681,0.6327,0.8416,0.8668
10,1.3073,0.6572,0.8312,0.8736
11,1.3273,0.6475,0.8075,0.8792
12,1.3251,0.6455,0.8452,0.8764
13,1.3193,0.6512,0.8372,0.8762
14,1.3270,0.6477,0.8638,0.8832
15,1.2989,0.6592,0.8145,0.8816
16,1.2953,0.6582,0.7614,0.8879
17,1.3084,0.6520,0.7982,0.8830
18,1.2676,0.6707,0.8139,0.8775
19,1.2579,0.6755,0.7926,0.8870
20,1.2639,0.6735,0.7640,0.8892
21,1.2357,0.6863,0.7662,0.9004
22,1.2396,0.6820,0.7899,0.8905
23,1.2289,0.6842,0.7599,0.9012
24,1.2155,0.6926,0.7411,0.8976
25,1.2490,0.6760,0.7705,0.9020
26,1.2397,0.6805,0.7663,0.9005
27,1.2405,0.6772,0.7840,0.8973
28,1.2165,0.6860,0.7350,0.9084
29,1.2124,0.6915,0.7453,0.9022
30,1.2003,0.6955,0.7586,0.9057
31,1.2134,0.6921,0.7414,0.9082
32,1.1952,0.6983,0.7134,0.9105
33,1.1883,0.6985,0.7440,0.9100
34,1.1885,0.6992,0.7774,0.9095
35,1.1932,0.6949,0.7246,0.9135
36,1.1808,0.7051,0.7239,0.9109
37,1.1809,0.7038,0.7097,0.9119
38,1.1706,0.7081,0.7160,0.9159
39,1.1478,0.7182,0.7198,0.9185
40,1.1479,0.7181,0.7135,0.9183
41,1.1882,0.6972,0.7073,0.9186
42,1.1564,0.7130,0.7538,0.9146
43,1.1702,0.7058,0.7243,0.9185
44,1.1732,0.7052,0.7224,0.9185
45,1.1539,0.7135,0.7113,0.9201
46,1.1459,0.7193,0.7189,0.9198
47,1.1421,0.7198,0.7195,0.9192
48,1.1530,0.7134,0.7223,0.9188
49,1.1264,0.7240,0.7031,0.9205
50,1.1678,0.7061,0.7042,0.9215
